path,name,probe,freq_hz,amp_V,wind,mooring,N_periods,n_samples,A_LS_mm,A_stokes2_mm,residual_rms_mm
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/340,1.40000,0.10000,full,below_90_loose230,15,2685,6.75041,0.06311,2.81907
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/340,1.40000,0.10000,full,below_90_loose230,20,3580,6.72439,0.08371,3.05287
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,12400/250,1.40000,0.10000,full,below_90_loose230,5,895,6.09016,0.23517,0.42839
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,12400/250,1.40000,0.10000,full,below_90_loose230,8,1432,6.05527,0.23511,0.42622
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,12400/250,1.40000,0.10000,full,below_90_loose230,10,1790,6.08315,0.23722,0.43630
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,12400/250,1.40000,0.10000,full,below_90_loose230,12,2148,6.07501,0.25179,0.43917
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,12400/250,1.40000,0.10000,full,below_90_loose230,15,2685,6.05726,0.24050,0.43415
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,12400/250,1.40000,0.10000,full,below_90_loose230,20,3580,6.05893,0.25293,0.46388
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.10000,full,below_90_loose230,5,960,7.73424,0.27896,2.95321
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.10000,full,below_90_loose230,8,1536,7.77755,0.42425,3.27696
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.10000,full,below_90_loose230,10,1920,7.76960,0.27338,3.19750
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.10000,full,below_90_loose230,12,2304,7.67635,0.43666,3.11876
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.10000,full,below_90_loose230,15,2880,7.67273,0.46421,3.19263
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.10000,full,below_90_loose230,20,3840,7.59945,0.46718,3.40919
