category,freq,amp,Kt_source,n_full,n_no,Kt_mean_full,Kt_mean_no,Kt_std_full,Kt_std_no,dKt_mean,dKt_ci_lo,dKt_ci_hi,welch_p,verdict
canon_loose230,1.4,0.3,eff,2,3,0.7625399976812641,0.7284436882274926,0.007805210937606871,0.02522398523619457,0.03416179364896278,0.009667518879599712,0.060046609316392385,0.13358312707110265,enhance
canon_loose230,1.5,0.1,FFT,3,5,0.764887065214749,0.43857253513515726,0.0746031048852646,0.03295887680400226,0.326644799987289,0.2520678467275309,0.39715604964341256,0.010245993541520757,enhance
canon_loose230,1.5,0.1,eff,3,5,0.7095077034548481,0.43857253513515726,0.04809832606235545,0.03295887680400226,0.27082714416735026,0.22265415354283258,0.3232528914587542,0.002683433431748838,enhance
canon_loose230,1.5,0.2,FFT,6,5,0.7031165307448427,0.6137867490635877,0.04556849963519057,0.018553067573532575,0.08950817910832315,0.05743588016410167,0.12948573173116057,0.0033862816523796864,enhance
canon_loose230,1.5,0.2,eff,6,5,0.7031165307448427,0.6137867490635877,0.04556849963519057,0.018553067573532575,0.08901083882014336,0.05714915796139192,0.12879774982774914,0.0033862816523796864,enhance
canon_loose230,1.5,0.3,FFT,2,4,0.7253694393360042,0.6066754798207341,0.0026876323095699037,0.009750250761146446,0.11865669343012249,0.11107739524363625,0.12821096681833688,3.96360733869408e-05,enhance
canon_loose230,1.5,0.3,eff,2,4,0.7253694393360042,0.6066754798207341,0.0026876323095699037,0.009750250761146446,0.11877629828440024,0.11107739524363625,0.12821096681833688,3.96360733869408e-05,enhance
canon_loose230,1.6,0.1,FFT,3,4,0.5906762382568657,0.34197877508546914,0.04872493960908739,0.022805940275690835,0.24886426209185583,0.20735875998070996,0.3013704620497256,0.005825559456327801,enhance
canon_loose230,1.6,0.1,eff,3,4,0.5906762382568657,0.34197877508546914,0.04872493960908739,0.022805940275690835,0.24884334328831983,0.20555518247243282,0.30014692950294414,0.005825559456327801,enhance
canon_loose230,1.6,0.2,FFT,5,4,0.6452296413025506,0.5004257905710535,0.026815954138275387,0.010097470165984735,0.14473269377500864,0.1239984374951355,0.16869889420974504,6.921866426906506e-05,enhance
canon_loose230,1.6,0.2,eff,5,4,0.6452296413025506,0.5004257905710535,0.026815954138275387,0.010097470165984735,0.14491367813266698,0.1239984374951355,0.16869889420974493,6.921866426906506e-05,enhance
canon_loose230,1.6,0.3,FFT,6,5,0.6876205255226636,0.5491460599969382,0.018639803103949238,0.02042455402698612,0.13841549197500513,0.1183818158915831,0.15994372383040528,2.0098673976554746e-06,enhance
canon_loose230,1.6,0.3,eff,6,5,0.6876205255226636,0.5491460599969382,0.018639803103949238,0.02042455402698612,0.138370164931749,0.11817247334572711,0.1599210484303906,2.0098673976554746e-06,enhance
canon_loose300,1.2,0.1,FFT,0,0,,,,,,,,,insufficient_n
canon_loose300,1.2,0.1,eff,0,0,,,,,,,,,insufficient_n
canon_loose300,1.2,0.2,FFT,1,0,0.8440782714019921,,,,,,,,insufficient_n
canon_loose300,1.2,0.2,eff,1,0,0.8440782714019921,,,,,,,,insufficient_n
canon_loose300,1.2,0.3,FFT,0,0,,,,,,,,,insufficient_n
canon_loose300,1.2,0.3,eff,0,0,,,,,,,,,insufficient_n
canon_loose300,1.3,0.1,FFT,6,7,0.7570736896382271,0.6646625023275915,0.02444237655399383,0.028214813214122007,0.09241949451455372,0.06568134298315194,0.1185963521661184,5.6332978805612756e-05,enhance
