run_idx,file_date,WindCondition,is_wave,WaveFreq_Hz,WaveAmp_V,run_mtime,path,mean_9373/170,sigma_9373/170,Hs_9373/170,mean_12400/250,sigma_12400/250,Hs_12400/250
39,2026-03-26,no,False,,,1774541935.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-nowave-depth580-mstop30-endofday-run1.csv,0.028439999999996586,0.041870083255573835,0.16748033302229534,0.026519999999996817,0.041057730693084056,0.16423092277233622
40,2026-03-27,no,False,,,1774604264.0,/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-nowave-depth580-mstop30-run1.csv,0.0034000000000002045,0.022643401500408555,0.09057360600163422,0.0058666666666675835,0.02086854612038405,0.0834741844815362
41,2026-03-27,no,False,,,1774604361.0,/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-nowave-depth580-mstop30-run2-startofday.csv,-0.0015599999999996613,0.0329030375473117,0.1316121501892468,0.0068266666666677335,0.022365081818212937,0.08946032727285175
42,2026-03-27,no,True,1.3,0.1,1774604475.0,/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,-0.0026399999999996452,0.03442398021561708,0.13769592086246832,0.0062933333333343175,0.021551796416867268,0.08620718566746907
43,2026-03-27,no,True,1.4,0.1,1774604680.0,/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,0.0029199999999998264,0.02601491818086877,0.10405967272347508,0.006560000000000969,0.022072970379220794,0.08829188151688318
44,2026-03-27,no,True,1.5,0.1,1774604830.0,/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,-0.002120000000000137,0.031667692110911895,0.12667076844364758,0.006693333333334294,0.0223278002299041,0.0893112009196164
45,2026-03-27,no,True,1.6,0.1,1774604985.0,/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,0.0014933333333335289,0.023930458513823288,0.09572183405529315,0.0070400000000011,0.02267871613549217,0.09071486454196868
46,2026-03-27,no,True,1.3,0.2,1774605143.0,/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,-0.006093333333332983,0.03414516772342323,0.1365806708936929,0.0058666666666675835,0.02086854612038405,0.0834741844815362
47,2026-03-27,no,True,1.4,0.2,1774605313.0,/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,-0.0023466666666665218,0.03049370936170954,0.12197483744683817,0.006533333333334326,0.02197785834043006,0.08791143336172023
48,2026-03-27,no,True,1.5,0.2,1774605507.0,/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,0.004800000000000182,0.020236254792098066,0.08094501916839227,0.006933333333334417,0.022522697842691893,0.09009079137076757
