path,folder,name,probe,freq_hz,amp_V,panel,N_samples,df_bin,A_nearest_bin,f_nearest_bin,A_parabolic,f_parabolic,A_goertzel,f_goertzel,A_ls_fit,f_ls_fit
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,12400/250,1.50000,0.30000,full,1671,0.14961,13200.22553,1.49611,13200.45188,1.49674,13207.82088,1.50000,13209.11487,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,8804/250,1.50000,0.30000,full,1671,0.14961,21982.97254,1.49611,21983.06536,1.49642,22004.91059,1.50000,21996.04745,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,9373/170,1.50000,0.20000,full,1671,0.14961,15432.78888,1.49611,15432.87589,1.49647,15474.62887,1.50000,15428.02238,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,9373/340,1.50000,0.20000,full,1671,0.14961,15195.37275,1.49611,15195.37279,1.49612,15236.30364,1.50000,15186.60695,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,12400/250,1.50000,0.20000,full,1671,0.14961,9017.87303,1.49611,9017.99032,1.49666,9009.91313,1.50000,9015.29968,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,8804/250,1.50000,0.20000,full,1671,0.14961,15114.75904,1.49611,15114.76125,1.49617,15127.73704,1.50000,15150.83866,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,9373/170,1.60000,0.30000,full,1561,0.16015,21057.79898,1.60154,21057.81334,1.60167,21060.50443,1.60000,21053.67915,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,9373/340,1.60000,0.30000,full,1561,0.16015,20982.12439,1.60154,20982.44979,1.60217,20996.46508,1.60000,20984.75565,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,12400/250,1.60000,0.30000,full,1561,0.16015,11140.55116,1.60154,11140.73378,1.60219,11144.54804,1.60000,11138.60871,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,8804/250,1.60000,0.30000,full,1561,0.16015,20318.97729,1.60154,20319.26922,1.60092,20334.83675,1.60000,20315.20748,1.60000
