scenario,f_true_hz,bin_offset,A_nearest_bin,err_nearest_bin,A_parabolic,err_parabolic,A_goertzel,err_goertzel,A_ls_fit,err_ls_fit
wind_like,1.34420,0.34000,0.81794,-0.18206,0.82416,-0.17584,1.00220,0.00220,1.00540,0.00540
wind_like,1.34680,0.36000,0.79059,-0.20941,0.79934,-0.20066,0.99839,-0.00161,1.00242,0.00242
wind_like,1.34940,0.38000,0.76998,-0.23002,0.78187,-0.21813,1.00194,0.00194,1.00695,0.00695
wind_like,1.35200,0.40000,0.74437,-0.25563,0.76039,-0.23961,1.01294,0.01294,1.01790,0.01790
wind_like,1.35460,0.42000,0.72414,-0.27586,0.74372,-0.25628,0.98876,-0.01124,0.99032,-0.00968
wind_like,1.35720,0.44000,0.69425,-0.30575,0.72166,-0.27834,0.98514,-0.01486,0.99077,-0.00923
wind_like,1.35980,0.46000,0.67371,-0.32629,0.70950,-0.29050,0.99424,-0.00576,0.99615,-0.00385
wind_like,1.36240,0.48000,0.64770,-0.35230,0.69709,-0.30291,0.98205,-0.01795,0.98566,-0.01434
wind_like,1.36500,0.50000,0.62403,-0.37597,0.68964,-0.31036,1.00791,0.00791,1.00529,0.00529
wind_like,1.36760,0.52000,0.67703,-0.32297,0.70886,-0.29114,1.00942,0.00942,1.00951,0.00951
wind_like,1.37020,0.54000,0.70291,-0.29709,0.72611,-0.27389,1.00217,0.00217,0.99812,-0.00188
wind_like,1.37280,0.56000,0.72257,-0.27743,0.74155,-0.25845,1.01097,0.01097,1.00651,0.00651
wind_like,1.37540,0.58000,0.74377,-0.25623,0.75820,-0.24180,1.00000,0.00000,0.99527,-0.00473
wind_like,1.37800,0.60000,0.76893,-0.23107,0.77988,-0.22012,1.00690,0.00690,1.00152,0.00152
