path,freq_hz,amp_v,amp_tag,wind,run_category,file_date,mooring,A_IN_wall,phi_IN_wall,sigma_pre_IN_wall,A_FFT_meta_IN_wall,A_IN_far,phi_IN_far,sigma_pre_IN_far,A_FFT_meta_IN_far,A_OUT,phi_OUT,sigma_pre_OUT,A_FFT_meta_OUT,A_IN_mean,sigma_pre_IN_mean,dphi_OUT_minus_IN_wall,T_wall,T_far,T_mean
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,1.5,0.3,A3,full,standard,2026-03-27,below_90_loose300,23.2472942701464,3.06258297042383,4.869552099802658,23.275177447583584,22.717110233290974,2.9600597571198253,4.041648941184021,22.7405814079871,16.958732812848034,2.732459689254319,0.32415397507197663,17.018130476241545,22.98220225171869,4.4556005204933395,-0.3301232811695112,0.7294927579862925,0.7465180491132943,0.7379072130295868
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,1.4,0.1,A1,full,standard,2026-03-27,below_90_loose300,7.967291397268062,2.8627137075226003,6.2453056750214255,7.940899536485769,7.986039933382159,2.734378752683526,3.8798008216715645,7.9624736771312135,5.648235438541828,-3.138646373084447,0.3351486398151074,5.646948233504023,7.976665665325111,5.062553248346495,0.28182522657253894,0.7089279350920409,0.7072636107079607,0.7080947949335443
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run2.csv,1.3,0.1,A1,full,standard,2026-03-27,below_90_loose300,7.528401520753441,2.7139839638880727,4.5533253186836875,7.522985366865736,7.803635330291757,-3.10691598074205,3.5492914439590755,7.8026072134356195,5.990698858341156,-3.100701278282229,0.29551160377585345,5.979853158397198,7.6660184255226,4.051308381321381,0.4685000650092839,0.7957464598330307,0.7676805238562037,0.7814615783333138
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.1,A1,full,standard,2026-03-27,below_90_loose300,7.487148921801585,2.646448865826043,4.063136132797529,7.483718281605883,7.779823699219576,2.79559616339526,4.430967643324316,7.774029922824236,5.7160424453224605,3.121536581906414,0.34946359811652056,5.7162593635647925,7.63348631051058,4.2470518880609225,0.4750877160803708,0.763447141899115,0.7347264753436327,0.7488115145306564
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.1,A1,no,standard,2026-03-27,below_90_loose300,7.90862364626466,3.123243919678428,0.17045868850246754,7.906129023308715,7.591849141599141,3.101755751722584,0.11175231688572672,7.590222591681739,3.4321546955869855,3.0488615023698817,0.026694803802740516,3.4187446937404937,7.750236393931901,0.14110550269409713,-0.07438241730854633,0.43397623266698676,0.45208415388296813,0.44284516253906964
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.2,A2,full,standard,2026-03-27,below_90_loose300,15.743318568769151,2.817666033646168,5.220401514754962,15.72449773904347,15.564567945012694,2.774435725098507,3.7194658630459347,15.500306792445532,11.51446129470612,3.1181425807080148,0.346481685952505,11.507865359266463,15.653943256890923,4.469933688900449,0.3004765470618467,0.7313871750996618,0.739786760248341,0.7355629891936277
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,1.3,0.1,A1,no,standard,2026-03-27,below_90_loose300,7.842661638915496,-3.013544665464573,0.09673246383408367,7.84676728736616,7.871764927756078,-2.999174107575801,0.034699611198925076,7.876033202561926,4.84121387260015,3.0669603728494854,0.17057479934557623,4.8408291808167645,7.857213283335787,0.06571603751650437,-0.20268026886552803,0.6172922019965668,0.6150099649863635,0.6161489701275881
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,1.4,0.1,A1,no,standard,2026-03-27,below_90_loose300,7.931419698862152,-3.018037192581796,0.02601491818086877,7.934552909145049,8.08460618126724,-3.053895453161787,0.03882228173887599,8.08388909464798,4.214635180975198,-3.1281317014924186,0.022072970379220794,4.217777637696426,8.008012940064695,0.03241859995987238,-0.11009450891062267,0.5313847130772607,0.521316077305149,0.5263022440796841
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run2.csv,1.4,0.3,A3,full,standard,2026-03-27,below_90_loose300,24.426803858499373,2.6994667250789215,3.973586273941652,24.453550298913484,21.909575239806124,2.917625049600343,3.5556072412872903,21.99045438925064,17.810492104302593,2.9901306815654274,0.32364703586982635,17.857405415232126,23.16818954915275,3.764596757614471,0.2906639564865059,0.7291372300476137,0.812909055030142,0.7687476859819594
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,1.6,0.1,A1,no,standard,2026-03-27,below_90_loose300,7.0531978961240185,-3.063665528687602,0.023930458513823288,7.0603789553305845,7.239509185423712,-2.99648830239212,0.03889260142916669,7.249215690924989,2.595055485619823,-3.1159071166205288,0.02267871613549217,2.6016130562065087,7.146353540773865,0.03141152997149499,-0.05224158793292677,0.3679260845702199,0.35845737869147276,0.36313001740168727
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,1.4,0.3,A3,no,standard,2026-03-27,below_90_loose300,22.34490148869155,-3.074476579538697,0.03242903312752629,22.266523462033245,22.577462235607165,-3.0838148150545703,0.039679840216742805,22.588586763719523,15.009394802700864,-3.1302225573365376,0.024321774845641554,15.01462865602514,22.46118186214936,0.03605443667213455,-0.05574597779784085,0.6717145211088495,0.6647954781662477,0.6682370898743341
