freq,amp,wind,probe,win_len,expected_len,end_shift_samples,end_shift_T
1.5,0.2,full,9373/170,1678,1670,8,0.04790419161676647
1.5,0.2,full,9373/340,1676,1670,6,0.03592814371257485
1.5,0.2,full,12400/250,1671,1670,1,0.005988023952095809
1.5,0.2,full,8804/250,1672,1670,2,0.011976047904191617
1.7,0.3,full,9373/170,1511,1470,41,0.2789115646258503
1.7,0.3,full,9373/340,1481,1470,11,0.07482993197278912
1.7,0.3,full,12400/250,1483,1470,13,0.08843537414965986
1.7,0.3,full,8804/250,1484,1470,14,0.09523809523809523
1.3,0.2,full,9373/170,1930,1920,10,0.052083333333333336
1.3,0.2,full,9373/340,1939,1920,19,0.09895833333333333
1.3,0.2,full,12400/250,1934,1920,14,0.07291666666666667
1.3,0.2,full,8804/250,1933,1920,13,0.06770833333333333
1.3,0.1,full,9373/170,1920,1920,0,0.0
1.3,0.1,full,9373/340,1920,1920,0,0.0
1.3,0.1,full,12400/250,1921,1920,1,0.005208333333333333
1.3,0.1,full,8804/250,1920,1920,0,0.0
1.4,0.2,full,9373/170,1799,1790,9,0.05027932960893855
1.4,0.2,full,9373/340,1786,1790,-4,-0.0223463687150838
1.4,0.2,full,12400/250,1785,1790,-5,-0.027932960893854747
1.4,0.2,full,8804/250,1775,1790,-15,-0.08379888268156424
1.6,0.3,full,9373/170,1547,1560,-13,-0.08333333333333333
1.6,0.3,full,9373/340,1562,1560,2,0.01282051282051282
1.6,0.3,full,12400/250,1571,1560,11,0.07051282051282051
1.6,0.3,full,8804/250,1563,1560,3,0.019230769230769232
1.3,0.1,no,9373/170,1923,1920,3,0.015625
1.3,0.1,no,9373/340,1921,1920,1,0.005208333333333333
1.3,0.1,no,12400/250,1924,1920,4,0.020833333333333332
1.3,0.1,no,8804/250,1921,1920,1,0.005208333333333333
1.7,0.2,full,9373/170,1486,1470,16,0.10884353741496598
1.7,0.2,full,9373/340,1485,1470,15,0.10204081632653061
1.7,0.2,full,12400/250,1478,1470,8,0.05442176870748299
1.7,0.2,full,8804/250,1484,1470,14,0.09523809523809523
