path,campaign,series,panel_state,wind,freq_hz,amp_v,amp_tag,file_date,in_probes,out_probe,L_separation_m,A_IN[9373/170]_mm,A_IN[9373/340]_mm,A_IN_mean_mm,n_in_probes_used,A_OUT_mm,A_IN[9373/250]_mm
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.4,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,22.352987869883595,22.638577699591373,22.495782784737486,2,15.168092292522093,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run2.csv,march,march_panel,panel,full,1.3,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,22.42231156829321,22.11523416354646,22.268772865919836,2,18.337883840605247,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.6,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,17.228608821294845,13.602650275652598,15.41562954847372,2,10.1202718956428,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.3,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,21.46656558124822,21.53468576877174,21.500625675009978,2,17.803052750079157,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,march,march_panel,panel,full,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.122947553556493,7.883347778729872,7.503147666143183,2,5.714164015089718,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.4,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,22.354181840139628,22.69995718209345,22.527069511116537,2,17.229828660650668,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,march,march_panel,panel,full,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.46863090448255,7.465859639219661,7.467245271851105,2,5.636117015790078,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.568400347076929,7.274443904921719,7.4214221259993245,2,5.054234670688031,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,march,march_panel,panel,no,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.512897373664526,7.421567714599662,7.467232544132093,2,4.924609764334472,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.6,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,14.772002231803915,14.803628856448938,14.787815544126428,2,7.1743157610008,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.3,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.908950342276368,7.416524903951396,7.662737623113882,2,5.480761131185276,
